account_id,username,created_at,followers,following,posts_per_day,credibility
acc00001,MoonKing4507,2024-02-18,328,242,67,medium
acc00002,SmartQueen9675,2021-10-19,2582,65,2,high
acc00003,ChainGuru9864,2020-02-13,37281,151,9,high
acc00004,ChainShark9655,2024-08-28,1,826,158,low
acc00005,BlockWalker3528,2024-11-30,86,709,73,low
acc00006,MoonSignal5636,2024-10-30,67,588,167,low
acc00007,MoonWhale1292,2024-04-18,400,949,60,medium
acc00008,AlphaAnalyst3151,2024-05-17,171,146,62,medium
acc00009,BlockQueen3815,2023-09-10,7119,244,5,high
acc00010,AlphaWalker6066,2024-09-11,53,1872,118,low
acc00011,MoonAnalyst2804,2024-04-14,846,350,30,medium
acc00012,HodlBot9126,2024-08-16,175,1164,64,low
acc00013,CryptoSignal6573,2021-02-21,4837,158,10,high
acc00014,AlphaTrader8180,2024-03-18,758,569,29,medium
acc00015,DefiTrader9198,2024-10-17,67,1697,159,low
acc00016,HodlSignal3594,2024-01-28,621,605,25,medium
acc00017,MoonWalker2622,2023-05-17,45096,266,10,high
acc00018,HodlWhale9764,2021-12-30,35176,178,9,high
acc00019,MoonGuru4372,2023-04-10,42506,224,2,high
acc00020,HodlWalker7434,2024-07-05,184,1973,117,low
acc00021,DefiGuru1744,2024-06-19,740,405,73,medium
acc00022,SmartAnalyst3259,2024-01-31,482,880,30,medium
acc00023,SmartKing9814,2024-03-04,600,119,27,medium
acc00024,BlockTrader950,2024-08-20,145,661,71,low
acc00025,SafeQueen8728,2024-05-29,228,231,62,medium
acc00026,SmartWalker4343,2024-10-15,155,1366,104,low
acc00027,ChainBot6538,2024-05-11,765,482,48,medium
acc00028,SafeQueen4062,2024-02-14,165,446,21,medium
acc00029,SmartTrader9642,2024-02-13,107,172,65,medium
acc00030,CryptoTrader1105,2024-06-25,132,980,41,medium
acc00031,SmartTrader4563,2022-11-07,32312,159,9,high
acc00032,FastAnalyst7745,2021-01-14,31496,463,7,high
acc00033,MoonQueen7063,2021-07-06,28259,260,8,high
acc00034,CryptoQueen994,2024-03-20,845,447,71,medium
acc00035,ChainTrader3117,2022-04-15,29900,121,7,high
acc00036,BlockShark4093,2023-09-22,5440,276,9,high
acc00037,CryptoGuru242,2020-05-26,49885,484,4,high
acc00038,HodlShark7887,2020-11-30,26782,80,3,high
acc00039,CryptoWhale4346,2024-12-31,200,1431,123,low
acc00040,SmartShark2537,2024-08-10,75,945,64,low
acc00041,SmartKing5139,2024-01-13,151,698,50,medium
acc00042,SmartWalker932,2024-04-09,182,971,31,medium
acc00043,FastQueen3854,2021-09-21,8356,341,4,high
acc00044,FastKing1344,2024-03-23,773,697,56,medium
acc00045,AlphaBot3347,2024-05-11,833,421,35,medium
acc00046,HodlWalker4916,2024-10-01,80,648,52,low
acc00047,FastAnalyst1639,2024-07-19,137,936,179,low
acc00048,DefiSignal1128,2024-12-22,62,1256,122,low
acc00049,SafeGuru4957,2022-08-10,43358,320,1,high
acc00050,SmartBot1698,2024-07-02,999,237,36,medium
acc00051,MoonGuru2547,2021-03-01,18965,359,4,high
acc00052,AlphaTrader4326,2024-04-09,600,357,77,medium
acc00053,MoonWhale4534,2020-03-11,732,220,3,high
acc00054,BlockWalker7240,2024-04-18,822,537,55,medium
acc00055,MoonQueen2443,2022-04-29,2861,477,6,high
acc00056,SmartWalker7042,2024-01-26,142,415,43,medium
acc00057,AlphaTrader4089,2022-11-04,7236,231,9,high
acc00058,FastWalker3879,2024-12-19,41,862,155,low
acc00059,DefiSignal6746,2023-06-02,44403,492,4,high
acc00060,DefiQueen6268,2024-12-21,9,1463,106,low
acc00061,SafeSignal5001,2023-06-30,15415,164,1,high
acc00062,ChainWhale5379,2024-02-25,985,171,69,medium
acc00063,AlphaGuru6549,2024-11-13,137,1178,57,low
acc00064,BlockWalker9513,2021-02-18,3007,105,10,high
acc00065,AlphaSignal7150,2024-10-30,130,736,148,low
acc00066,ChainBot728,2024-05-18,546,101,53,medium
acc00067,ChainSignal7067,2024-01-15,780,438,59,medium
acc00068,MoonBot8309,2024-09-03,170,1336,133,low
acc00069,BlockGuru2086,2024-08-11,107,1861,147,low
acc00070,DefiAnalyst9325,2024-02-29,515,661,73,medium
acc00071,BlockBot3444,2021-10-31,38509,360,6,high
acc00072,SafeShark3502,2024-10-12,121,847,71,low
acc00073,SmartAnalyst5492,2024-07-23,192,981,129,low
acc00074,ChainWalker401,2020-03-14,16546,293,10,high
acc00075,SafeWhale9432,2020-10-31,47577,406,7,high
acc00076,HodlTrader2418,2024-11-09,176,511,77,low
acc00077,ChainWalker8487,2024-10-03,12,1641,113,low
acc00078,SafeWalker7613,2022-11-05,35308,336,10,high
acc00079,SafeAnalyst8271,2024-09-25,140,1413,90,low
acc00080,SafeShark4247,2024-05-26,353,960,60,medium
acc00081,SmartShark3920,2024-08-27,112,658,123,low
acc00082,BlockSignal5239,2023-10-21,35899,91,3,high
acc00083,ChainWhale2504,2023-01-04,14521,82,7,high
acc00084,AlphaGuru7634,2024-09-23,15,923,157,low
acc00085,FastKing9433,2024-09-16,122,512,140,low
acc00086,HodlWhale8819,2024-11-27,188,1618,106,low
acc00087,ChainBot7141,2024-10-07,7,1296,136,low
acc00088,HodlWalker7658,2024-06-28,230,737,54,medium
acc00089,HodlAnalyst9247,2022-10-28,2276,92,7,high
acc00090,SafeWalker824,2021-02-10,25344,217,4,high
acc00091,AlphaSignal6212,2024-08-28,192,1363,114,low
acc00092,SafeKing8838,2020-03-23,23435,164,2,high
acc00093,CryptoKing4052,2024-02-09,959,120,59,medium
acc00094,ChainWalker7759,2022-11-07,7996,338,4,high
acc00095,BlockSignal2750,2024-10-30,155,1971,79,low
acc00096,BlockQueen9482,2020-02-11,20944,344,7,high
acc00097,ChainQueen9701,2024-11-16,160,997,76,low
acc00098,BlockAnalyst1984,2024-06-04,679,901,22,medium
acc00099,SmartWhale6072,2024-07-18,129,1826,137,low
acc00100,HodlShark1730,2021-11-06,24236,375,8,high
acc00101,DefiWhale2886,2024-05-23,634,766,37,medium
acc00102,SmartShark7617,2024-03-26,945,848,57,medium
acc00103,AlphaTrader1420,2024-08-28,115,999,168,low
acc00104,FastWhale5512,2024-01-07,606,971,40,medium
acc00105,SafeTrader5814,2023-05-26,17431,224,5,high
acc00106,BlockGuru167,2024-04-11,295,187,35,medium
acc00107,HodlShark9097,2024-05-28,346,807,50,medium
acc00108,SafeShark283,2024-01-20,401,326,45,medium
acc00109,ChainBot9529,2024-03-13,584,666,53,medium
acc00110,HodlGuru5420,2024-09-11,179,1429,119,low
acc00111,BlockTrader1977,2024-11-22,49,1146,80,low
acc00112,SmartWalker3139,2024-02-13,856,595,37,medium
acc00113,FastGuru9778,2024-02-25,202,952,32,medium
acc00114,ChainSignal2940,2024-09-01,3,1950,186,low
acc00115,BlockKing894,2022-05-11,19645,407,3,high
acc00116,SafeQueen201,2024-04-22,391,580,50,medium
acc00117,AlphaWalker842,2024-08-23,122,733,66,low
acc00118,SafeQueen9454,2024-11-04,175,609,88,low
acc00119,FastBot1396,2021-01-22,8262,335,7,high
acc00120,FastAnalyst3698,2024-05-31,635,489,48,medium
acc00121,BlockAnalyst7026,2024-09-02,145,1771,65,low
acc00122,MoonTrader3458,2024-02-22,776,183,30,medium
acc00123,DefiGuru1230,2020-09-02,675,259,8,high
acc00124,FastShark4772,2024-01-08,337,395,65,medium
acc00125,SafeQueen3825,2024-12-31,67,1780,200,low
acc00126,ChainWhale1881,2024-04-16,330,763,29,medium
acc00127,DefiQueen978,2024-08-06,78,1718,195,low
acc00128,SafeQueen7680,2024-11-15,77,1933,153,low
acc00129,SmartGuru8091,2024-09-28,20,1724,60,low
acc00130,AlphaAnalyst4103,2024-07-10,23,968,197,low
acc00131,CryptoBot9442,2024-01-09,881,874,31,medium
acc00132,SmartShark4558,2024-08-09,149,1392,175,low
acc00133,SafeSignal6691,2021-06-03,21540,393,2,high
acc00134,AlphaWhale8118,2021-03-25,43923,255,9,high
acc00135,SafeQueen5154,2021-01-29,21686,109,7,high
acc00136,CryptoGuru7570,2024-03-22,155,292,53,medium
acc00137,FastShark7243,2024-11-29,13,916,118,low
acc00138,DefiBot7179,2024-06-21,815,596,27,medium
acc00139,FastTrader2595,2021-04-29,36599,57,9,high
acc00140,MoonTrader1859,2024-10-02,30,1826,89,low
acc00141,BlockGuru4480,2024-09-23,123,1467,112,low
acc00142,SmartWalker6285,2024-08-11,153,1540,84,low
acc00143,BlockWhale5569,2023-12-24,33775,186,1,high
acc00144,BlockAnalyst9502,2024-11-10,125,804,164,low
acc00145,SafeSignal5447,2024-04-18,881,656,44,medium
acc00146,AlphaTrader3913,2024-10-24,98,978,155,low
acc00147,AlphaShark6247,2021-08-24,43995,455,3,high
acc00148,CryptoWalker8230,2024-10-27,84,705,162,low
acc00149,SmartShark252,2023-01-29,9947,259,3,high
acc00150,SafeBot5547,2022-08-28,45897,253,2,high
acc00151,SmartWhale5189,2024-11-03,183,1499,188,low
acc00152,FastQueen3847,2022-09-09,45352,197,4,high
acc00153,MoonWhale1613,2024-05-28,748,820,75,medium
acc00154,SafeWalker4907,2023-11-06,2397,73,6,high
acc00155,BlockSignal6142,2021-11-02,10040,175,9,high
acc00156,FastWalker2786,2024-08-07,20,1748,147,low
acc00157,ChainShark9555,2024-01-29,337,572,60,medium
acc00158,SafeBot154,2024-12-26,119,1089,189,low
acc00159,MoonShark5662,2022-07-03,20105,377,7,high
acc00160,BlockShark4950,2024-02-09,493,973,50,medium
acc00161,ChainWhale9371,2021-07-13,38170,201,5,high
acc00162,HodlBot133,2022-05-31,45444,448,1,high
acc00163,SafeBot3771,2024-04-28,921,460,34,medium
acc00164,ChainAnalyst4107,2024-05-12,873,838,69,medium
acc00165,DefiQueen646,2024-03-01,907,551,22,medium
acc00166,AlphaWalker1477,2024-06-26,402,434,67,medium
acc00167,DefiTrader2166,2024-12-04,138,1249,185,low
acc00168,BlockWalker4211,2024-06-27,944,593,71,medium
acc00169,AlphaQueen7674,2024-07-19,36,962,151,low
acc00170,AlphaQueen6465,2024-01-04,370,649,27,medium
acc00171,AlphaBot9578,2024-09-16,163,1260,77,low
acc00172,ChainShark411,2024-05-01,674,435,78,medium
acc00173,ChainQueen7607,2024-06-26,817,409,61,medium
acc00174,MoonWalker743,2024-07-12,77,1508,79,low
acc00175,ChainGuru2223,2021-08-28,30229,239,9,high
acc00176,FastWalker6798,2024-11-09,25,1502,154,low
acc00177,CryptoSignal3560,2024-09-29,113,983,142,low
acc00178,AlphaGuru5877,2020-04-06,26592,191,4,high
acc00179,SafeQueen3476,2022-09-25,42409,355,1,high
acc00180,AlphaTrader2064,2023-05-09,37500,155,2,high
acc00181,ChainAnalyst3539,2024-06-07,990,338,41,medium
acc00182,FastKing4543,2023-08-28,9982,116,9,high
acc00183,DefiQueen423,2024-07-30,3,1233,110,low
acc00184,AlphaKing2855,2024-02-22,153,229,67,medium
acc00185,SmartQueen1042,2024-10-05,114,1241,181,low
acc00186,MoonShark8255,2024-02-14,729,144,66,medium
acc00187,SmartBot7505,2024-05-05,131,162,50,medium
acc00188,HodlQueen8033,2024-11-20,113,650,70,low
acc00189,FastWalker1077,2024-07-29,70,1778,199,low
acc00190,AlphaWhale9788,2024-04-14,401,564,52,medium
acc00191,HodlQueen1875,2024-06-15,770,766,76,medium
acc00192,ChainWhale7399,2024-06-22,333,523,41,medium
acc00193,HodlWhale1558,2024-09-03,109,1140,115,low
acc00194,DefiShark1100,2024-07-22,21,690,160,low
acc00195,AlphaWalker9116,2020-04-05,38934,337,9,high
acc00196,MoonWhale5794,2024-12-21,170,1366,63,low
acc00197,FastBot5762,2024-07-25,147,1539,104,low
acc00198,SafeTrader1774,2021-06-29,36955,238,2,high
acc00199,FastTrader7031,2024-12-16,143,1773,192,low
acc00200,FastBot475,2020-10-09,18409,409,5,high
acc00201,AlphaKing2973,2024-12-20,36,1659,152,low
acc00202,DefiKing1504,2023-03-07,35265,160,7,high
acc00203,SafeSignal2579,2024-09-14,79,1977,133,low
acc00204,FastQueen862,2024-02-01,261,872,59,medium
acc00205,MoonBot7260,2022-10-27,28288,298,10,high
acc00206,HodlBot3532,2024-11-28,131,733,138,low
acc00207,MoonBot9718,2024-10-07,134,1866,128,low
acc00208,ChainWhale9820,2020-03-28,1003,154,5,high
acc00209,DefiBot4743,2021-05-26,8363,53,8,high
