account_id,username,created_at,followers,following,posts_per_day,credibility
acc0001,user_001,2025-08-09,334,654,160.06,bot
acc0002,user_002,2025-01-16,159,1448,143.28,bot
acc0003,user_003,2022-12-24,7849,483,33.41,low
acc0004,user_004,2025-09-17,417,1643,153.56,bot
acc0005,user_005,2025-03-20,350,1010,164.82,bot
acc0006,user_006,2023-06-13,8019,2337,54.59,medium
acc0007,user_007,2023-05-27,2756,4040,48.05,low
acc0008,user_008,2025-01-27,31,1283,197.52,bot
acc0009,user_009,2024-06-29,9389,2752,40.42,low
acc0010,user_010,2023-02-22,8948,4506,33.6,low
acc0011,user_011,2025-08-23,142,928,155.74,bot
acc0012,user_012,2023-03-31,20165,391,11.49,high
acc0013,user_013,2023-02-10,682,1503,47.03,low
acc0014,user_014,2024-03-07,9519,3641,31.36,low
acc0015,user_015,2023-10-28,5884,4129,57.5,low
acc0016,user_016,2022-12-29,716,1921,35.18,low
acc0017,user_017,2021-01-19,61500,4907,1.88,high
acc0018,user_018,2021-04-28,79179,4113,10.76,high
acc0019,user_019,2023-05-23,6103,2635,77.14,medium
acc0020,user_020,2025-03-04,421,771,68.57,bot
acc0021,user_021,2023-01-28,83230,310,4.09,high
acc0022,user_022,2024-03-16,1310,2896,55.59,medium
acc0023,user_023,2021-01-14,11228,1628,15.99,high
acc0024,user_024,2023-04-24,35435,2061,12.57,high
acc0025,user_025,2023-05-08,4903,3766,61.73,low
acc0026,user_026,2024-06-13,7175,1097,25.43,low
acc0027,user_027,2025-08-13,214,2535,198.67,bot
acc0028,user_028,2024-06-01,659,2968,26.76,low
acc0029,user_029,2025-07-03,9,3407,191.82,bot
acc0030,user_030,2023-10-26,3039,1679,25.07,medium
acc0031,user_031,2021-11-11,23842,3300,15.07,high
acc0032,user_032,2025-05-27,357,1327,84.43,bot
acc0033,user_033,2023-06-07,26738,4872,1.54,high
acc0034,user_034,2023-07-09,2749,1423,39.51,low
acc0035,user_035,2020-12-14,70738,620,8.55,high
acc0036,user_036,2024-07-16,6432,409,28.15,low
acc0037,user_037,2025-10-12,117,2252,65.07,bot
acc0038,user_038,2023-04-08,9145,1619,35.08,low
acc0039,user_039,2024-05-30,4982,1573,56.4,low
acc0040,user_040,2025-05-17,284,4755,172.64,bot
acc0041,user_041,2023-08-26,2862,435,38.55,low
acc0042,user_042,2023-07-08,5829,260,73.87,low
acc0043,user_043,2025-02-02,413,597,70.98,bot
acc0044,user_044,2025-02-25,205,207,131.87,bot
acc0045,user_045,2025-09-26,460,1728,141.42,bot
acc0046,user_046,2022-05-10,82868,1206,9.44,high
acc0047,user_047,2025-01-12,53,1388,155.27,bot
acc0048,user_048,2023-02-15,4762,4813,73.39,low
acc0049,user_049,2025-04-30,370,2103,103.92,bot
acc0050,user_050,2021-05-03,72791,4538,2.92,high
acc0051,user_051,2025-04-22,13,3971,152.51,bot
acc0052,user_052,2024-09-23,2233,3933,47.18,low
acc0053,user_053,2023-08-29,9913,1809,66.76,low
acc0054,user_054,2025-07-26,384,24,150.44,bot
acc0055,user_055,2023-06-28,4990,2399,47.52,low
acc0056,user_056,2024-08-22,4720,4215,49.88,low
acc0057,user_057,2023-01-07,3599,1597,67.18,medium
acc0058,user_058,2024-06-23,8510,4692,32.36,low
acc0059,user_059,2023-11-26,5742,3234,48.42,medium
acc0060,user_060,2025-06-30,353,2174,170.33,bot
acc0061,user_061,2021-06-15,76696,1679,13.72,high
acc0062,user_062,2022-07-15,30495,3717,18.61,high
acc0063,user_063,2025-01-03,394,1841,108.0,bot
acc0064,user_064,2025-07-06,362,1610,88.1,bot
acc0065,user_065,2023-07-20,804,4280,24.45,low
acc0066,user_066,2024-09-09,3084,2953,70.95,low
acc0067,user_067,2023-08-07,79366,1661,16.43,high
acc0068,user_068,2025-08-01,83,4998,87.38,bot
acc0069,user_069,2022-06-18,13495,1750,13.92,high
acc0070,user_070,2024-02-26,7548,3520,64.18,low
acc0071,user_071,2025-02-16,229,938,184.17,bot
acc0072,user_072,2024-06-04,970,4680,45.63,low
acc0073,user_073,2023-01-28,9715,4646,56.6,low
acc0074,user_074,2021-02-13,31252,4687,16.03,high
acc0075,user_075,2023-09-27,23609,4892,1.76,high
acc0076,user_076,2025-03-02,299,1620,65.85,bot
acc0077,user_077,2025-09-30,314,95,186.96,bot
acc0078,user_078,2025-03-26,428,3788,109.96,bot
acc0079,user_079,2021-04-06,64509,1730,16.04,high
acc0080,user_080,2024-09-29,4158,4519,55.14,low
acc0081,user_081,2023-06-03,8326,738,22.0,low
acc0082,user_082,2025-11-05,5,876,65.54,bot
acc0083,user_083,2023-02-21,8113,386,56.66,medium
acc0084,user_084,2025-04-30,130,94,100.24,bot
acc0085,user_085,2022-02-08,55935,4410,12.94,high
acc0086,user_086,2023-11-22,5857,2141,22.68,low
acc0087,user_087,2023-08-18,98480,2761,9.42,high
acc0088,user_088,2022-06-23,11588,4534,17.51,high
acc0089,user_089,2023-04-10,4607,4330,51.35,medium
acc0090,user_090,2023-09-18,7786,4037,24.14,low
acc0091,user_091,2025-04-20,313,1609,121.32,bot
acc0092,user_092,2025-02-23,188,4276,144.66,bot
acc0093,user_093,2024-05-08,3216,3968,44.27,medium
acc0094,user_094,2025-03-17,289,1653,184.44,bot
acc0095,user_095,2024-06-02,9465,801,52.88,low
acc0096,user_096,2024-12-01,6459,1342,26.59,medium
acc0097,user_097,2023-10-31,33108,102,12.28,high
acc0098,user_098,2025-08-12,220,4945,110.83,bot
acc0099,user_099,2023-01-29,4962,1440,48.51,low
acc0100,user_100,2024-03-22,1675,4649,40.65,low
acc0101,user_101,2023-08-17,83926,4825,19.95,high
acc0102,user_102,2025-02-08,286,1105,177.04,bot
acc0103,user_103,2024-01-23,6276,1964,37.93,medium
acc0104,user_104,2025-09-13,175,4595,130.29,bot
acc0105,user_105,2021-12-19,41476,4658,4.55,high
acc0106,user_106,2025-02-05,394,317,88.0,bot
acc0107,user_107,2023-11-29,2687,1875,37.0,medium
acc0108,user_108,2023-09-25,7003,1876,67.44,low
acc0109,user_109,2022-01-27,30308,2602,5.15,high
acc0110,user_110,2024-11-22,9577,3084,51.31,low
acc0111,user_111,2024-04-15,6205,3839,29.28,low
acc0112,user_112,2025-08-28,80,1295,133.86,bot
acc0113,user_113,2025-07-08,363,1593,78.8,bot
acc0114,user_114,2023-05-24,5932,2972,40.13,low
acc0115,user_115,2024-05-19,879,1395,40.96,medium
acc0116,user_116,2023-08-13,5702,4345,32.4,low
acc0117,user_117,2024-09-19,7915,1186,43.5,low
acc0118,user_118,2024-07-23,3623,1654,78.5,medium
acc0119,user_119,2025-10-01,27,3223,168.55,bot
acc0120,user_120,2023-01-17,9562,4593,32.46,low
acc0121,user_121,2025-03-02,453,2443,62.77,bot
acc0122,user_122,2025-10-19,80,484,78.1,bot
acc0123,user_123,2024-12-16,56,3635,199.27,bot
acc0124,user_124,2024-08-21,3847,4013,67.21,medium
acc0125,user_125,2022-04-08,22127,4737,16.93,high
acc0126,user_126,2022-08-19,55816,2798,12.93,high
acc0127,user_127,2023-06-30,5547,4068,62.16,low
acc0128,user_128,2023-01-25,3281,937,47.5,low
acc0129,user_129,2023-05-17,1523,2535,41.89,low
acc0130,user_130,2025-11-23,363,4056,171.92,bot
acc0131,user_131,2024-02-18,3502,2275,65.78,medium
acc0132,user_132,2024-10-15,2033,1166,34.49,low
acc0133,user_133,2024-06-14,6598,1351,58.58,low
acc0134,user_134,2023-08-06,5403,552,39.84,low
