narrative_id,token_id,topic,start_time,end_time,posts
n0001,NEURA,Trend: Gems Primed Buy,2025-01-01 00:24:38,2025-03-31 23:33:18,"p0000001,p0000028,p0000078,p0000152,p0000221,p0000222,p0000238,p0000297,p0000310,p0000373,p0000416,p0000422,p0000435,p0000493,p0000546,p0000594,p0000610,p0000643,p0000661,p0000679"
n0002,NEURA,Trend: Just Neura Market,2025-01-01 00:17:06,2025-03-31 23:49:18,"p0000013,p0000019,p0000021,p0000024,p0000029,p0000030,p0000037,p0000047,p0000048,p0000053,p0000075,p0000089,p0000093,p0000097,p0000122,p0000132,p0000147,p0000148,p0000153,p0000154"
n0003,NEURA,Trend: Word Target Attention,2025-01-01 00:06:08,2025-03-31 23:47:13,"p0000002,p0000034,p0000064,p0000121,p0000306,p0000348,p0000378,p0000631,p0000736,p0000884,p0000915,p0000954,p0000967,p0001040,p0001091,p0001301,p0001351,p0001352,p0001354,p0001510"
n0004,TAO,Trend: Just Tao Market,2025-01-01 00:07:23,2025-03-31 23:27:19,"p0000003,p0000033,p0000061,p0000062,p0000076,p0000082,p0000088,p0000111,p0000115,p0000116,p0000126,p0000136,p0000145,p0000156,p0000159,p0000175,p0000184,p0000194,p0000200,p0000210"
n0005,TAO,Trend: Moon Primed Miss,2025-01-01 00:01:28,2025-03-31 21:19:37,"p0000059,p0000074,p0000092,p0000124,p0000213,p0000223,p0000260,p0000366,p0000386,p0000405,p0000421,p0000520,p0000538,p0000552,p0000658,p0000683,p0000803,p0000853,p0000880,p0000926"
n0006,TAO,Trend: Word Target Attention,2025-01-01 00:20:21,2025-03-31 22:40:08,"p0000036,p0000050,p0000052,p0000068,p0000072,p0000079,p0000278,p0000503,p0000504,p0000505,p0000562,p0000580,p0000678,p0000825,p0000890,p0000931,p0000975,p0001032,p0001060,p0001178"
n0007,XCY,Trend: Partnership Major Rumors,2025-01-01 00:13:51,2025-03-31 21:00:48,"p0000012,p0000032,p0000085,p0000094,p0000131,p0000165,p0000186,p0000251,p0000256,p0000279,p0000331,p0000370,p0000401,p0000489,p0000528,p0000557,p0000582,p0000617,p0000712,p0000717"
n0008,XCY,Trend: Moon Miss 1000X,2025-01-01 00:34:15,2025-03-31 23:51:31,"p0000095,p0000101,p0000114,p0000139,p0000141,p0000158,p0000188,p0000250,p0000347,p0000383,p0000413,p0000426,p0000434,p0000455,p0000534,p0000555,p0000577,p0000611,p0000680,p0000747"
n0009,XCY,Trend: Just Xcy Signals,2025-01-01 00:04:13,2025-03-31 23:56:22,"p0000004,p0000007,p0000023,p0000044,p0000054,p0000058,p0000067,p0000096,p0000130,p0000137,p0000138,p0000144,p0000151,p0000160,p0000170,p0000182,p0000187,p0000189,p0000198,p0000212"
n0010,BLOC,Trend: Word Target Attention,2025-01-01 01:17:38,2025-03-31 23:08:23,"p0000134,p0000255,p0000332,p0000392,p0000397,p0000431,p0000547,p0000642,p0000644,p0000697,p0000771,p0000798,p0000812,p0001114,p0001234,p0001342,p0001552,p0001557,p0001644,p0001682"
