account_id,username,created_at,followers,following,posts_per_day,credibility
acc00001,user_00001,2024-12-07,48598,573,27,medium
acc00002,user_00002,2024-08-12,48265,219,4,high
acc00003,user_00003,2022-07-03,35741,188,67,medium
acc00004,user_00004,2024-11-30,1952,201,47,medium
acc00005,user_00005,2023-08-03,39453,64,4,high
acc00006,user_00006,2022-12-30,42590,1446,32,medium
acc00007,user_00007,2024-05-21,29439,1216,46,medium
acc00008,user_00008,2022-11-16,10463,1439,51,low
acc00009,user_00009,2024-03-23,10189,450,137,low
acc00010,user_00010,2024-09-29,24898,208,76,low
acc00011,user_00011,2023-04-24,17335,1662,138,low
acc00012,user_00012,2023-07-02,8180,1898,8,high
acc00013,user_00013,2023-06-16,19213,1708,70,low
acc00014,user_00014,2022-07-10,23700,1192,59,medium
acc00015,user_00015,2024-11-16,43336,476,2,high
acc00016,user_00016,2022-08-10,15256,1784,70,low
acc00017,user_00017,2024-03-23,29714,1311,7,high
acc00018,user_00018,2023-12-19,23283,439,91,low
acc00019,user_00019,2023-01-14,44796,1337,37,medium
acc00020,user_00020,2023-03-23,11215,1103,10,high
acc00021,user_00021,2024-07-18,30294,787,35,medium
acc00022,user_00022,2024-05-22,44866,674,192,low
acc00023,user_00023,2022-09-13,2103,1658,4,high
acc00024,user_00024,2024-04-02,4337,442,152,low
acc00025,user_00025,2022-12-28,20622,445,76,medium
acc00026,user_00026,2023-11-23,42129,949,51,medium
acc00027,user_00027,2024-08-12,16162,1535,5,high
acc00028,user_00028,2024-04-07,48956,1207,54,medium
acc00029,user_00029,2023-11-20,23723,459,199,low
acc00030,user_00030,2023-08-15,5957,1557,9,high
acc00031,user_00031,2024-07-29,41120,337,2,high
acc00032,user_00032,2023-05-02,4163,798,47,medium
acc00033,user_00033,2023-07-10,16476,1998,169,low
acc00034,user_00034,2022-05-12,752,1403,75,medium
acc00035,user_00035,2023-02-03,35190,1547,27,medium
acc00036,user_00036,2024-09-09,19234,900,137,low
acc00037,user_00037,2024-12-29,47323,1803,8,high
acc00038,user_00038,2022-04-12,32806,1570,36,medium
acc00039,user_00039,2022-06-12,6973,1792,9,high
acc00040,user_00040,2022-08-24,41874,1049,39,medium
acc00041,user_00041,2024-07-29,24504,1571,32,medium
acc00042,user_00042,2022-05-01,34757,1891,9,high
acc00043,user_00043,2024-02-05,32021,49,10,high
acc00044,user_00044,2022-07-17,20153,500,6,high
acc00045,user_00045,2022-07-17,37182,1949,4,high
acc00046,user_00046,2022-12-14,31849,1681,2,high
acc00047,user_00047,2022-11-09,8241,272,9,high
acc00048,user_00048,2022-05-08,36031,348,50,medium
acc00049,user_00049,2022-07-23,39753,876,185,low
acc00050,user_00050,2022-11-20,47836,1422,9,high
acc00051,user_00051,2023-11-20,44019,1340,5,high
acc00052,user_00052,2022-06-25,33919,934,162,low
acc00053,user_00053,2024-05-16,4196,702,4,high
acc00054,user_00054,2023-06-14,15080,1215,10,high
acc00055,user_00055,2024-10-21,46389,1302,1,high
acc00056,user_00056,2024-10-24,2058,1770,4,high
acc00057,user_00057,2023-07-25,15597,580,68,low
acc00058,user_00058,2024-05-27,35339,280,51,medium
acc00059,user_00059,2022-07-13,37423,1190,79,medium
acc00060,user_00060,2022-10-21,30996,1663,112,low
acc00061,user_00061,2024-09-27,6352,1359,98,low
acc00062,user_00062,2023-10-26,26941,966,140,low
acc00063,user_00063,2023-02-12,42824,1333,23,medium
acc00064,user_00064,2023-11-16,47724,704,1,high
acc00065,user_00065,2024-06-19,12465,1108,4,high
acc00066,user_00066,2023-10-27,12025,580,85,low
acc00067,user_00067,2022-07-21,4940,917,113,low
acc00068,user_00068,2024-11-11,42738,1117,26,medium
acc00069,user_00069,2022-05-29,49385,1748,2,high
acc00070,user_00070,2023-11-12,31826,995,3,high
acc00071,user_00071,2022-06-22,3842,347,7,high
acc00072,user_00072,2023-11-29,17380,1907,50,low
acc00073,user_00073,2023-10-26,45651,1970,123,low
acc00074,user_00074,2023-06-12,43376,1481,70,medium
acc00075,user_00075,2024-06-21,19445,455,89,low
acc00076,user_00076,2022-12-10,35533,134,10,high
acc00077,user_00077,2024-11-04,3286,1206,40,medium
acc00078,user_00078,2022-06-05,34807,332,178,low
acc00079,user_00079,2024-10-11,12178,150,9,high
acc00080,user_00080,2023-02-10,15414,836,24,medium
acc00081,user_00081,2024-04-24,37940,1227,10,high
acc00082,user_00082,2024-10-10,27474,1356,10,high
acc00083,user_00083,2023-07-16,20733,1924,56,medium
acc00084,user_00084,2023-02-16,46936,653,102,low
acc00085,user_00085,2023-11-23,8577,1385,5,high
acc00086,user_00086,2023-09-21,20720,1912,39,medium
acc00087,user_00087,2023-09-20,40708,1163,1,high
acc00088,user_00088,2023-07-01,13969,1046,2,high
acc00089,user_00089,2022-05-22,22872,1814,83,low
acc00090,user_00090,2023-12-20,18676,333,4,high
acc00091,user_00091,2023-01-12,19825,1262,189,low
acc00092,user_00092,2024-12-24,43769,1683,53,medium
acc00093,user_00093,2022-05-23,43475,222,39,medium
acc00094,user_00094,2024-09-05,7014,1530,5,high
acc00095,user_00095,2024-03-29,18465,1248,29,medium
acc00096,user_00096,2024-06-07,45055,1308,6,high
acc00097,user_00097,2023-08-20,16457,1864,179,low
acc00098,user_00098,2023-03-24,27759,1708,2,high
acc00099,user_00099,2024-12-29,21859,1589,61,low
acc00100,user_00100,2024-07-20,48577,914,5,high
acc00101,user_00101,2023-10-22,36759,29,65,medium
acc00102,user_00102,2022-05-10,45286,1861,2,high
acc00103,user_00103,2024-11-26,24196,1202,9,high
acc00104,user_00104,2023-10-19,8352,95,29,medium
acc00105,user_00105,2022-06-26,2614,1850,143,low
acc00106,user_00106,2023-02-03,16353,1375,103,low
acc00107,user_00107,2022-10-26,36692,1820,6,high
acc00108,user_00108,2022-05-30,15514,1780,89,low
acc00109,user_00109,2022-07-14,27020,60,3,high
acc00110,user_00110,2022-10-23,26982,1652,6,high
acc00111,user_00111,2022-12-11,16263,556,75,medium
acc00112,user_00112,2023-12-07,2537,1768,2,high
acc00113,user_00113,2024-06-11,30166,726,106,low
acc00114,user_00114,2024-05-18,1550,1361,108,low
acc00115,user_00115,2024-01-31,18258,1780,7,high
acc00116,user_00116,2024-01-08,42040,1053,5,high
acc00117,user_00117,2024-01-28,1808,246,187,low
acc00118,user_00118,2023-05-18,17397,88,95,low
acc00119,user_00119,2023-10-15,22654,1502,10,high
acc00120,user_00120,2023-04-22,33516,246,161,low
acc00121,user_00121,2024-06-21,16693,100,197,low
acc00122,user_00122,2024-12-31,34073,1905,47,medium
acc00123,user_00123,2022-12-27,48624,1519,63,medium
acc00124,user_00124,2023-12-26,28265,153,32,medium
acc00125,user_00125,2024-01-29,40839,652,78,medium
acc00126,user_00126,2024-08-27,47169,1853,74,medium
acc00127,user_00127,2024-02-20,43705,846,179,low
acc00128,user_00128,2023-01-19,19376,1145,153,low
acc00129,user_00129,2023-10-29,43576,1935,4,high
acc00130,user_00130,2023-04-12,37296,626,94,low
acc00131,user_00131,2022-09-01,26,632,190,low
acc00132,user_00132,2023-10-19,38009,1252,103,low
acc00133,user_00133,2023-09-13,28952,915,40,medium
acc00134,user_00134,2023-07-28,31010,1635,33,medium
acc00135,user_00135,2023-02-27,5557,591,30,medium
acc00136,user_00136,2023-03-25,40583,696,62,medium
acc00137,user_00137,2023-02-13,20343,470,4,high
acc00138,user_00138,2024-12-07,3028,511,3,high
acc00139,user_00139,2023-09-23,27160,1824,68,low
acc00140,user_00140,2024-06-16,47077,1436,56,medium
acc00141,user_00141,2023-11-19,15989,312,176,low
acc00142,user_00142,2024-12-27,49215,1772,64,medium
acc00143,user_00143,2024-05-22,11526,1656,7,high
acc00144,user_00144,2023-09-14,3291,1151,53,medium
acc00145,user_00145,2023-09-22,8738,1651,2,high
acc00146,user_00146,2023-06-09,39023,659,185,low
acc00147,user_00147,2023-10-23,35905,923,179,low
