narrative_id,token_id,topic,start_time,end_time,posts
n00001,AITK,Bot Spike (Week 1),2025-01-01 01:06:30,2025-01-05 23:49:44,"p0000133,p0000796,p0001023,p0001061,p0001076,p0002674,p0002741,p0003187,p0003645,p0005988,p0007033,p0007166,p0008803,p0009800,p0010288,p0010443,p0010473,p0010610,p0014195,p0014254"
n00002,AITK,Bot Spike (Week 2),2025-01-06 00:12:39,2025-01-12 23:05:21,"p0000285,p0000800,p0000814,p0001407,p0001917,p0001918,p0002588,p0003028,p0003824,p0003851,p0003958,p0004465,p0005250,p0006042,p0006799,p0006995,p0007042,p0007075,p0007294,p0008300"
n00003,AITK,Bot Spike (Week 3),2025-01-13 00:04:04,2025-01-19 22:45:45,"p0000246,p0000948,p0001099,p0001262,p0001287,p0001606,p0001612,p0002590,p0002606,p0002930,p0003113,p0003124,p0006455,p0006459,p0006477,p0006618,p0006632,p0007321,p0007408,p0007887"
n00004,AITK,Bot Spike (Week 4),2025-01-20 00:23:35,2025-01-26 23:06:15,"p0000927,p0001310,p0002806,p0003771,p0004700,p0004837,p0006520,p0006985,p0007233,p0007743,p0008116,p0008265,p0008866,p0009363,p0009584,p0010696,p0011351,p0012238,p0013730,p0014287"
n00005,AITK,Bot Spike (Week 5),2025-01-27 00:56:52,2025-02-02 23:24:47,"p0000014,p0000063,p0000171,p0000248,p0000268,p0000732,p0000787,p0001229,p0001328,p0001414,p0002122,p0002210,p0002497,p0003481,p0003764,p0003871,p0005019,p0006663,p0006786,p0008461"
n00006,AITK,Bot Spike (Week 6),2025-02-03 00:08:44,2025-02-09 23:42:04,"p0000337,p0000371,p0001135,p0001236,p0001454,p0001777,p0001875,p0002031,p0002950,p0003889,p0004612,p0004628,p0004677,p0005239,p0005980,p0006137,p0006299,p0006421,p0006485,p0006519"
n00007,AITK,Bot Spike (Week 7),2025-02-10 01:24:15,2025-02-16 23:23:50,"p0000077,p0000325,p0000653,p0000756,p0001370,p0002491,p0002758,p0003467,p0004205,p0005106,p0005769,p0006083,p0006976,p0007297,p0007368,p0007534,p0008056,p0008930,p0009680,p0009938"
n00008,AITK,Bot Spike (Week 8),2025-02-17 00:05:54,2025-02-23 23:43:30,"p0000298,p0000326,p0000507,p0000688,p0000972,p0001549,p0001566,p0001631,p0002461,p0002540,p0003435,p0003698,p0003849,p0004083,p0004718,p0005662,p0006568,p0006650,p0006696,p0007376"
n00009,AITK,Bot Spike (Week 9),2025-02-24 01:38:09,2025-03-02 23:25:14,"p0001590,p0002013,p0002550,p0002577,p0002778,p0003121,p0003320,p0003478,p0003536,p0003796,p0003941,p0004540,p0004601,p0004790,p0005324,p0005327,p0005486,p0005790,p0006157,p0006447"
n00010,AITK,Bot Spike (Week 10),2025-03-03 01:13:35,2025-03-09 23:01:18,"p0000381,p0001394,p0002134,p0003228,p0004229,p0004531,p0004617,p0004852,p0004999,p0005024,p0005553,p0005738,p0005826,p0006542,p0006853,p0007067,p0007533,p0008935,p0009084,p0009286"
n00011,AITK,Bot Spike (Week 11),2025-03-10 00:00:52,2025-03-16 22:46:06,"p0000098,p0000322,p0000595,p0000714,p0001059,p0001979,p0002128,p0002270,p0003736,p0003802,p0003839,p0004016,p0006490,p0006715,p0006802,p0008192,p0008456,p0008740,p0008863,p0008938"
n00012,AITK,Bot Spike (Week 12),2025-03-17 00:03:27,2025-03-23 20:51:13,"p0000835,p0001033,p0001235,p0001484,p0001898,p0001929,p0002354,p0004160,p0004450,p0004547,p0004791,p0004797,p0005011,p0005446,p0005666,p0007122,p0007204,p0007901,p0009056,p0009088"
n00013,AITK,Bot Spike (Week 13),2025-03-24 00:23:21,2025-03-30 23:14:35,"p0000859,p0001086,p0001921,p0002441,p0002597,p0003825,p0005531,p0005611,p0007547,p0008189,p0008472,p0009929,p0010013,p0010157,p0010521,p0011246,p0011879,p0012067,p0012952,p0013299"
n00014,AITK,Bot Spike (Week 14),2025-03-31 00:34:39,2025-03-31 23:18:49,"p0006301,p0010162,p0025509,p0027317,p0033406,p0033958,p0036090,p0036701,p0036726,p0047432,p0051437,p0057339,p0061609,p0063133,p0063772,p0064272,p0067347,p0067749,p0068059,p0068921"
n00015,AITK,Coordinated Spike (Week 1),2025-01-01 00:07:06,2025-01-05 21:56:39,"p0002566,p0003214,p0003680,p0003808,p0004875,p0008855,p0009876,p0010305,p0011527,p0011531,p0011752,p0012809,p0014474,p0016104,p0016120,p0016622,p0017723,p0017824,p0018611,p0023283"
