account_id,username,trust_score,trust_label,bot_ratio,posts_per_day
acc00001,user_00001,60,Neutral,0.0,27
acc00002,user_00002,75,Neutral,0.0,4
acc00003,user_00003,60,Neutral,0.0,67
acc00004,user_00004,70,Neutral,0.0,47
acc00005,user_00005,75,Neutral,0.0,4
acc00006,user_00006,80,Reliable,0.0,32
acc00007,user_00007,70,Neutral,0.0,46
acc00008,user_00008,0,Bot/Malicious,1.0,51
acc00009,user_00009,0,Bot/Malicious,1.0,137
acc00010,user_00010,0,Bot/Malicious,1.0,76
acc00011,user_00011,0,Bot/Malicious,1.0,138
acc00012,user_00012,70,Neutral,0.0,8
acc00013,user_00013,0,Bot/Malicious,1.0,70
acc00014,user_00014,60,Neutral,0.0,59
acc00015,user_00015,75,Neutral,0.0,2
acc00016,user_00016,0,Bot/Malicious,1.0,70
acc00017,user_00017,70,Neutral,0.0,7
acc00018,user_00018,0,Bot/Malicious,1.0,91
acc00019,user_00019,80,Reliable,0.0,37
acc00020,user_00020,70,Neutral,0.0,10
acc00021,user_00021,70,Neutral,0.0,35
acc00022,user_00022,0,Bot/Malicious,1.0,192
acc00023,user_00023,85,Reliable,0.0,4
acc00024,user_00024,0,Bot/Malicious,1.0,152
acc00025,user_00025,60,Neutral,0.0,76
acc00026,user_00026,50,Neutral,0.0,51
acc00027,user_00027,70,Neutral,0.0,5
acc00028,user_00028,50,Neutral,0.0,54
acc00029,user_00029,0,Bot/Malicious,1.0,199
acc00030,user_00030,70,Neutral,0.0,9
acc00031,user_00031,75,Neutral,0.0,2
acc00032,user_00032,70,Neutral,0.0,47
acc00033,user_00033,0,Bot/Malicious,1.0,169
acc00034,user_00034,60,Neutral,0.0,75
acc00035,user_00035,80,Reliable,0.0,27
acc00036,user_00036,0,Bot/Malicious,1.0,137
acc00037,user_00037,60,Neutral,0.0,8
acc00038,user_00038,80,Reliable,0.0,36
acc00039,user_00039,80,Reliable,0.0,9
acc00040,user_00040,80,Reliable,0.0,39
acc00041,user_00041,70,Neutral,0.0,32
acc00042,user_00042,80,Reliable,0.0,9
acc00043,user_00043,70,Neutral,0.0,10
