narrative_id,token_id,topic,start_time,end_time,posts
n001,AITK,Bot Event,2025-01-01 00:00:51,2025-01-30 23:56:41,"p000052,p000058,p000071,p000122,p000131,p000239,p000287,p000321,p000333,p000360,p000428,p000434,p000471,p000518,p000532,p000723,p000745,p000790,p000796,p000825"
n002,AITK,Coordinated Event,2025-01-01 00:21:12,2025-01-30 23:57:54,"p000031,p000067,p000121,p000216,p000226,p000316,p000327,p000390,p000423,p000427,p000520,p000592,p000596,p000668,p000672,p000687,p000744,p000748,p000757,p000794"
n003,AITK,Fake News Event,2025-01-01 04:08:57,2025-01-30 23:22:08,"p000082,p000351,p000481,p000560,p000584,p000811,p001151,p001652,p002034,p002724,p002831,p003120,p003322,p003781,p003841,p004009,p004187,p004351,p004592,p004598"
n004,BLOC,Bot Event,2025-01-01 00:05:26,2025-01-30 23:24:16,"p000024,p000087,p000212,p000271,p000320,p000329,p000339,p000364,p000386,p000391,p000409,p000420,p000491,p000545,p000716,p000717,p000793,p000988,p000992,p001009"
n005,BLOC,Coordinated Event,2025-01-01 00:12:08,2025-01-30 23:37:20,"p000072,p000096,p000134,p000148,p000207,p000215,p000374,p000546,p000660,p000762,p000807,p000846,p000866,p001002,p001041,p001074,p001078,p001091,p001095,p001173"
n006,BLOC,Fake News Event,2025-01-01 02:15:37,2025-01-30 22:24:29,"p000202,p000358,p000421,p000502,p000509,p001047,p001076,p001152,p001279,p001339,p001350,p001534,p001893,p002089,p002445,p002471,p002540,p002652,p002723,p002867"
n007,NEURA,Bot Event,2025-01-01 00:00:41,2025-01-30 23:52:51,"p000019,p000049,p000061,p000104,p000223,p000289,p000293,p000301,p000303,p000348,p000359,p000363,p000395,p000414,p000437,p000443,p000474,p000483,p000505,p000576"
n008,NEURA,Coordinated Event,2025-01-01 00:15:31,2025-01-30 23:25:01,"p000012,p000023,p000042,p000056,p000073,p000100,p000107,p000112,p000124,p000163,p000214,p000256,p000262,p000382,p000401,p000404,p000432,p000561,p000569,p000638"
n009,NEURA,Fake News Event,2025-01-01 08:21:57,2025-01-30 23:06:56,"p000237,p000655,p001175,p001288,p001312,p001398,p001592,p001720,p001998,p002107,p002119,p002175,p002469,p002627,p003000,p003033,p003100,p003472,p003656,p003813"
n010,OMNI,Bot Event,2025-01-01 00:11:01,2025-01-30 23:43:16,"p000013,p000039,p000041,p000119,p000120,p000165,p000169,p000189,p000253,p000258,p000269,p000280,p000380,p000499,p000512,p000646,p000649,p000682,p000741,p000795"
n011,OMNI,Coordinated Event,2025-01-01 00:32:30,2025-01-30 22:54:43,"p000002,p000010,p000022,p000044,p000066,p000102,p000194,p000298,p000372,p000435,p000439,p000451,p000475,p000498,p000511,p000764,p000888,p001036,p001044,p001070"
n012,OMNI,Fake News Event,2025-01-01 01:51:05,2025-01-30 23:46:22,"p000192,p000206,p000310,p000417,p000456,p000563,p000843,p000939,p000961,p001017,p001349,p001536,p001596,p001664,p002160,p002215,p002238,p003072,p003232,p003319"
n013,RNDR,Bot Event,2025-01-01 00:47:26,2025-01-30 23:59:01,"p000009,p000103,p000117,p000144,p000166,p000176,p000196,p000236,p000328,p000341,p000353,p000354,p000355,p000362,p000385,p000408,p000469,p000524,p000527,p000564"
n014,RNDR,Coordinated Event,2025-01-01 00:11:53,2025-01-30 23:55:39,"p000038,p000057,p000074,p000116,p000130,p000138,p000172,p000179,p000185,p000219,p000331,p000367,p000373,p000388,p000470,p000486,p000542,p000598,p000608,p000639"
n015,RNDR,Fake News Event,2025-01-01 01:06:02,2025-01-30 19:41:45,"p000109,p001141,p001224,p001434,p001777,p001810,p002167,p002762,p003013,p003021,p003048,p003413,p003506,p003776,p004094,p004129,p004166,p004356,p004403,p004695"
n016,TAO,Bot Event,2025-01-01 00:16:09,2025-01-30 23:48:03,"p000028,p000043,p000065,p000085,p000108,p000149,p000160,p000234,p000336,p000441,p000476,p000480,p000536,p000659,p000712,p000735,p000779,p000799,p000820,p000829"
n017,TAO,Coordinated Event,2025-01-01 00:43:27,2025-01-30 23:57:44,"p000001,p000051,p000077,p000201,p000260,p000267,p000334,p000366,p000412,p000464,p000490,p000543,p000604,p000669,p000732,p000772,p000777,p000831,p000905,p000947"
n018,TAO,Fake News Event,2025-01-01 00:34:20,2025-01-30 23:37:37,"p000812,p000830,p001026,p001187,p001599,p001827,p001841,p002427,p002430,p002431,p002456,p002929,p003586,p003636,p003670,p004281,p004301,p004343,p004408,p004495"
n019,XCY,Bot Event,2025-01-01 00:14:20,2025-01-30 23:59:47,"p000034,p000068,p000094,p000174,p000203,p000248,p000292,p000300,p000430,p000442,p000479,p000497,p000522,p000523,p000533,p000552,p000609,p000617,p000619,p000643"
n020,XCY,Coordinated Event,2025-01-01 00:56:30,2025-01-30 23:16:59,"p000007,p000030,p000036,p000075,p000097,p000118,p000127,p000177,p000275,p000294,p000338,p000365,p000402,p000438,p000685,p000720,p000809,p000845,p000868,p000921"
n021,XCY,Fake News Event,2025-01-01 00:04:21,2025-01-30 23:45:58,"p000168,p000190,p000319,p000978,p001039,p001130,p001182,p001511,p001540,p001745,p001869,p002040,p002182,p002308,p002714,p002859,p003174,p003323,p003639,p003698"
